,,Subjects,,,,,,,,,
serialId,studentName,Unix,NT,AWD,ASP.NET,WFS,CC,Practical,totalMarks,percentage,grades
TBCA3301,Rohan Rao,90,85,93,92,88,86,91,625,85.14,A
TBCA3302,Pooja Jain,82,87,96,93,81,90,87,615,83.14,B
TBCA3303,Akash Yadav,97,94,98,95,99,88,94,663,87.86,A
TBCA3304,Sandeep Patel,89,84,93,98,92,89,94,638,82.86,B
TBCA3305,Vivek Sinha,86,92,90,89,85,85,89,613,81.86,C
TBCA3306,Anjali Sharma,95,93,98,90,98,89,94,657,83.71,B
TBCA3307,Sumit Agarwal,99,85,92,96,86,93,98,648,83.14,B
TBCA3308,Neha Jain,88,97,92,85,95,91,96,645,85.57,B
TBCA3309,Rajesh Joshi,85,96,100,93,97,87,97,658,86.43,A
TBCA3310,Ritika Bansal,97,90,99,95,87,87,92,647,83.57,B
