,,Subjects,,,,,,,,,
serialId,studentName,Unix,NT,AWD,ASP.NET,WFS,CC,Practical,totalMarks,percentage,grades
TBCA3101,Anil Rao,91,86,94,92,89,87,91,630,85.14,A
TBCA3102,Meera Jain,83,88,97,93,82,90,87,620,83.14,B
TBCA3103,Sanjeev Yadav,98,95,98,94,99,87,94,665,87.86,A
TBCA3104,Suman Patel,90,85,93,97,92,89,93,639,82.86,B
TBCA3105,Kunal Sinha,87,92,90,88,85,85,88,615,81.86,C
TBCA3106,Preeti Sharma,96,94,98,89,98,88,94,657,83.71,B
TBCA3107,Rahul Agarwal,100,85,91,95,86,92,98,647,83.14,B
TBCA3108,Sonal Jain,89,97,92,85,95,91,96,645,85.57,B
TBCA3109,Vikas Joshi,86,96,99,93,97,87,96,654,86.14,A
TBCA3110,Namita Bansal,98,90,98,95,87,87,92,647,83.57,B
