,,Subjects,,,,,,,,,
serialId,studentName,Unix,NT,AWD,ASP.NET,WFS,CC,Practical,totalMarks,percentage,grades
TBCA2401,Rajesh Patel,86,81,89,90,86,81,86,599,85.57,A
TBCA2402,Aditi Desai,77,83,91,87,77,86,83,584,83.43,B
TBCA2403,Manoj Kumar,92,90,92,88,93,82,89,626,86.57,A
TBCA2404,Kavita Singh,84,79,89,92,86,83,88,601,82.86,B
TBCA2405,Deepak Sharma,81,87,85,82,79,79,84,577,80.71,C
TBCA2406,Anjali Mehta,90,88,92,84,92,83,89,618,83.71,B
TBCA2407,Sahil Kapoor,94,80,86,90,80,87,92,609,83.14,B
TBCA2408,Nisha Reddy,83,92,86,80,89,86,90,606,84.57,B
TBCA2409,Akash Joshi,79,90,94,87,91,82,90,613,85.57,A
TBCA2410,Sneha Verma,91,84,92,88,81,81,86,603,83.00,B
