,,Subjects,,,,,,,,,
serialId,studentName,Unix,NT,AWD,ASP.NET,WFS,CC,Practical,totalMarks,percentage,grades
TBCA3201,Ravi Gupta,89,84,93,91,88,86,90,620,85.57,A
TBCA3202,Nisha Shah,81,86,95,92,80,89,86,609,83.57,B
TBCA3203,Vinod Yadav,96,93,97,94,98,87,93,658,87.71,A
TBCA3204,Priya Patel,88,83,92,97,91,88,93,633,82.86,B
TBCA3205,Rakesh Sinha,85,91,89,88,84,84,89,610,81.71,C
TBCA3206,Rekha Sharma,94,92,97,89,97,88,93,650,83.71,B
TBCA3207,Amit Agarwal,98,84,91,95,85,92,97,641,83.14,B
TBCA3208,Sunita Jain,87,96,91,84,94,91,95,639,85.57,B
TBCA3209,Ramesh Joshi,84,95,99,93,97,86,96,650,86.43,A
TBCA3210,Smriti Bansal,96,89,97,94,86,86,91,640,83.00,B
