,,Subjects,,,,,,,,,
serialId,studentName,Economics,Accounting,Management,Communication,E-Commernce,Auditing,Project,totalMarks,percentage,grades
TBCOM2501,Vikram Rao,87,82,90,89,85,82,87,602,85.71,A
TBCOM2502,Neha Jain,79,84,92,89,78,86,84,592,83.71,B
TBCOM2503,Rakesh Yadav,93,91,93,90,94,83,90,634,87.29,A
TBCOM2504,Seema Patel,85,80,89,93,87,84,89,607,82.43,B
TBCOM2505,Anil Sinha,82,88,86,83,80,80,85,584,81.14,C
TBCOM2506,Megha Sharma,91,89,93,85,93,84,90,625,83.57,B
TBCOM2507,Aman Agarwal,95,81,87,91,81,88,93,616,83.71,B
TBCOM2508,Pooja Jain,84,93,87,81,90,87,91,613,85.86,B
TBCOM2509,Ajay Khandelwal,80,91,95,88,92,83,91,620,86.43,A
TBCOM2510,Preeti Bansal,92,85,93,89,82,82,87,610,84.57,B
