,,Subjects,,,,,,,,,
serialId,studentName,Economics,Accounting,Management,Communication,E-Commernce,Auditing,Project,totalMarks,percentage,grades
TBCOM2801,Ankit Rao,90,85,92,91,87,85,90,623,85.71,A
TBCOM2802,Ritu Jain,82,87,95,92,81,89,86,612,83.71,B
TBCOM2803,Arvind Yadav,96,94,96,93,97,86,93,650,87.57,A
TBCOM2804,Neha Patel,88,83,91,96,90,87,92,627,82.86,B
TBCOM2805,Kapil Sinha,85,91,88,86,83,83,87,604,81.71,C
TBCOM2806,Naina Sharma,94,92,96,88,96,87,92,640,83.71,B
TBCOM2807,Raj Agarwal,98,84,90,94,84,91,96,631,83.43,B
TBCOM2808,Nidhi Jain,87,96,90,84,93,90,94,628,85.57,B
TBCOM2809,Kishore Joshi,83,94,98,91,95,85,94,635,86.43,A
TBCOM2810,Rekha Bansal,95,88,96,93,85,85,90,625,83.00,B
