,,Subjects,,,,,,,,,
serialId,studentName,Economics,Accounting,Management,Communication,E-Commernce,Auditing,Project,totalMarks,percentage,grades
TBCOM2701,Nikhil Gupta,89,84,91,92,87,84,89,616,85.71,A
TBCOM2702,Shraddha Sharma,81,86,94,91,80,88,85,603,83.71,B
TBCOM2703,Vinay Yadav,95,93,95,92,96,85,92,645,87.29,A
TBCOM2704,Priya Patel,87,82,90,95,89,86,91,622,82.43,B
TBCOM2705,Mahesh Sinha,84,90,87,85,82,82,86,598,81.14,C
TBCOM2706,Monika Sharma,93,91,95,87,95,86,91,636,83.57,B
TBCOM2707,Arjun Agarwal,97,83,89,93,83,90,95,628,83.71,B
TBCOM2708,Swati Jain,86,95,89,83,92,89,93,625,85.86,B
TBCOM2709,Rajesh Khandelwal,82,93,97,90,94,84,93,632,86.43,A
TBCOM2710,Shweta Bansal,94,87,95,92,84,84,89,622,84.57,B
