,,Subjects,,,,,,,,,
serialId,studentName,Economics,Accounting,Management,Communication,E-Commernce,Auditing,Project,totalMarks,percentage,grades
TBCOM3401,Karan Gupta,91,86,95,93,89,87,92,635,85.57,A
TBCOM3402,Reena Shah,83,88,97,94,82,90,88,624,83.57,B
TBCOM3403,Sahil Yadav,98,95,99,95,100,88,95,670,87.71,A
TBCOM3404,Priyanka Patel,90,85,94,99,92,90,95,643,82.86,B
TBCOM3405,Sudhir Sinha,87,93,90,89,86,86,90,618,81.71,C
TBCOM3406,Shalini Sharma,96,94,99,90,99,89,95,662,83.71,B
TBCOM3407,Ajay Agarwal,100,85,93,96,87,93,99,652,83.14,B
TBCOM3408,Swati Jain,89,98,93,86,96,92,97,650,85.57,B
TBCOM3409,Naveen Joshi,86,97,101,94,98,88,98,663,86.43,A
TBCOM3410,Rahul Bansal,98,91,100,96,88,88,93,653,83.00,B
