,,Subjects,,,,,,,,,
serialId,studentName,Unix,NT,AWD,ASP.NET,WFS,CC,Practical,totalMarks,percentage,grades
TBCA3001,Sahil Gupta,88,83,92,90,87,85,89,614,85.14,A
TBCA3002,Reema Shah,80,85,94,91,79,88,85,602,83.14,B
TBCA3003,Karan Yadav,95,92,96,93,97,86,92,651,87.71,A
TBCA3004,Divya Patel,87,82,91,96,91,87,92,626,82.86,B
TBCA3005,Anjali Sinha,84,90,88,87,83,84,87,603,81.86,C
TBCA3006,Nikita Sharma,93,91,96,88,96,87,92,643,83.71,B
TBCA3007,Vikas Agarwal,97,83,90,94,84,91,96,635,83.14,B
TBCA3008,Richa Jain,86,95,91,84,93,90,94,633,85.57,B
TBCA3009,Ashok Joshi,83,94,98,92,96,86,95,644,86.14,A
TBCA3010,Poonam Bansal,95,89,96,93,85,86,91,635,83.57,B
